Ticker,Date,Price,Volume
ACB,20140512,14.3,160743
ACB,20140509,14.7,252229
ACB,20140508,14.5,198453
ACB,20140507,15,101720
ACB,20140506,14.9,231759
ACB,20140505,15,246411
ACB,20140429,15,44670
ACB,20140428,15,94101
ACB,20140425,15.1,124699
ACB,20140424,14.8,124474
ACB,20140423,15.1,70037
ACB,20140422,15.3,126533
ACB,20140421,15.2,105128
ACB,20140418,15.3,493684
ACB,20140417,15.3,222188
ACB,20140416,15.4,351254
ACB,20140415,15.3,310269
ACB,20140414,15.6,225754
ACB,20140411,15.5,435510
ACB,20140410,15.5,67181
ACB,20140408,15.4,51025
ACB,20140407,15.5,47730
ACB,20140404,15.6,151083
ACB,20140403,15.7,261047
ACB,20140402,15.4,340174
ACB,20140401,15.5,521973
ACB,20140331,15.6,199778
ACB,20140328,15.6,115058
ACB,20140327,15.6,296773
ACB,20140326,15.6,583854
ACB,20140325,15.8,502703
ACB,20140324,16,565578
ACB,20140321,15.8,405430
ACB,20140320,15.9,452237
ACB,20140319,16,612020
ACB,20140318,15.6,652345
ACB,20140317,15.2,728589
ACB,20140314,15.1,494631
ACB,20140313,15.1,310883
ACB,20140312,15,212082
ACB,20140311,15.1,322067
ACB,20140310,15.1,213819
ACB,20140307,15.2,214785
ACB,20140306,15.2,481079
ACB,20140305,15.2,209310
ACB,20140304,15.2,269216
ACB,20140303,15.3,305876
ACB,20140228,15.6,377052
ACB,20140227,15.8,1517007
ACB,20140226,14.9,653738
ACB,20140225,14.7,237673
ACB,20140224,14.7,141679
ACB,20140221,14.7,138041
ACB,20140220,14.6,292230
ACB,20140219,14.7,443485
ACB,20140218,14.7,576724
ACB,20140217,14.7,533459
ACB,20140214,15.1,178059
ACB,20140213,15.1,159044
ACB,20140212,15,149504
ACB,20140211,14.9,472956
ACB,20140210,14.8,551546
ACB,20140207,14.8,80742
ACB,20140206,14.8,39130
ACB,20140127,14.8,61108
ACB,20140124,14.8,79711
ACB,20140123,14.7,45473
ACB,20140122,14.7,173860
ACB,20140121,14.7,144669
