Ticker,Date,Price
ACB,20130814,14.4
ACB,20130813,14.2
ACB,20130812,14.2
ACB,20130809,14.2
ACB,20130808,14.3
ACB,20130807,14.5
ACB,20130806,14.4
ACB,20130805,14.4
ACB,20130802,14.4
ACB,20130801,14.4
ACB,20130731,14.5
ACB,20130730,14.6
ACB,20130729,14.6
ACB,20130726,14.6
ACB,20130725,14.5
ACB,20130724,14.6
ACB,20130723,14.7
ACB,20130722,14.6
ACB,20130719,14.6
ACB,20130718,14.7
ACB,20130717,14.7
ACB,20130716,14.6
ACB,20130715,14.6
ACB,20130712,14.6
ACB,20130711,14.6
ACB,20130710,14.6
ACB,20130709,14.6
ACB,20130708,14.5
ACB,20130705,14.6
ACB,20130704,14.8
ACB,20130703,14.8
ACB,20130702,14.8
ACB,20130701,14.7
ACB,20130628,14.7
ACB,20130627,14.7
ACB,20130626,14.7
ACB,20130625,14.7
ACB,20130624,14.9
ACB,20130621,14.8
ACB,20130620,14.8
ACB,20130619,14.9
ACB,20130618,14.8
ACB,20130617,14.8
ACB,20130614,15
ACB,20130613,15.1
ACB,20130612,15.2
ACB,20130611,15.3
ACB,20130610,15.3
ACB,20130607,15.4
ACB,20130606,15.2
ACB,20130605,15.2
ACB,20130604,15.1
ACB,20130603,15.4
ACB,20130531,15.1
ACB,20130530,15.1
ACB,20130529,15.2
ACB,20130528,15.2
ACB,20130527,15.1
ACB,20130524,15.2
ACB,20130523,15.1
ACB,20130522,15.3
ACB,20130521,14.7
ACB,20130520,14.6
ACB,20130517,14.7
ACB,20130516,14.7
ACB,20130515,14.3
ACB,20130514,14.3
ACB,20130513,14.4
ACB,20130510,14.4
ACB,20130509,14.3
ACB,20130508,14.1
ACB,20130507,14.3
ACB,20130506,14.2
ACB,20130503,14.1
ACB,20130502,14.1
ACB,20130426,14
ACB,20130425,14
ACB,20130424,14
ACB,20130423,14
ACB,20130422,13.9
ACB,20130418,13.9
ACB,20130417,13.9
ACB,20130416,14
ACB,20130415,14.1
ACB,20130412,14.5
ACB,20130411,14.7
ACB,20130410,14
ACB,20130409,14
ACB,20130408,14.1
ACB,20130405,14.2
ACB,20130404,14.1
ACB,20130403,14.3
ACB,20130402,14.3
ACB,20130401,14.3
ACB,20130329,14.4
ACB,20130328,14.4
ACB,20130327,14.3
ACB,20130326,14.3
ACB,20130325,14.5
ACB,20130322,14.5
ACB,20130321,14.5
ACB,20130320,14.6
ACB,20130319,14.5
ACB,20130318,14.5
ACB,20130315,14.6
ACB,20130314,14.5
ACB,20130313,14.5
ACB,20130312,14.6
ACB,20130311,14.6
ACB,20130308,14.5
ACB,20130307,14.4
ACB,20130306,14.5
ACB,20130305,14.3
ACB,20130304,14.4
ACB,20130301,14.7
ACB,20130228,14.5
ACB,20130227,14.5
ACB,20130226,14.4
ACB,20130225,14.7
ACB,20130222,14.7
ACB,20130221,14.5
ACB,20130220,15.3
ACB,20130219,15.5
ACB,20130218,15.6
ACB,20130208,15.7
ACB,20130207,15.4
ACB,20130206,15.4
ACB,20130205,15.4
ACB,20130204,15.4
ACB,20130201,15.5
ACB,20130131,15.5
ACB,20130130,15.7
ACB,20130129,15.7
ACB,20130128,15.5
ACB,20130125,15.4
ACB,20130124,15.2
ACB,20130123,14.9
ACB,20130122,14.9
ACB,20130121,15.4
ACB,20130118,15.6
ACB,20130117,15.8
ACB,20130116,16
ACB,20130115,16
ACB,20130114,15.8
ACB,20130111,16
ACB,20130110,16.1
ACB,20130109,15.9
ACB,20130108,15.2
ACB,20130107,15.1
ACB,20130104,15.1
ACB,20130103,14.9
ACB,20130102,15.2
ACB,20121228,14.5
ACB,20121227,14.3
ACB,20121226,14.3
ACB,20121225,14.1
ACB,20121224,14.1
ACB,20121221,14.1
ACB,20121220,14.2
ACB,20121219,14.3
ACB,20121218,14
ACB,20121217,14.4
ACB,20121214,14.8
ACB,20121213,14.1
ACB,20121212,13.6
ACB,20121211,13.2
ACB,20121210,13.2
ACB,20121207,13
ACB,20121206,13
ACB,20121205,13.1
ACB,20121204,12.8
ACB,20121203,12.8
ACB,20121130,12.7
ACB,20121129,12.9
ACB,20121128,12.9
ACB,20121127,12.9
ACB,20121126,12.9
ACB,20121123,12.7
ACB,20121122,12.9
ACB,20121121,12.9
ACB,20121120,13
ACB,20121119,12.9
ACB,20121116,13.1
ACB,20121115,13.2
ACB,20121114,13.3
ACB,20121113,13.3
ACB,20121112,13.3
ACB,20121109,13.1
ACB,20121108,13
ACB,20121107,13.2
ACB,20121106,12.8
ACB,20121105,12.8
ACB,20121102,12.7
ACB,20121101,13.3
ACB,20121031,13.4
ACB,20121030,13.6
ACB,20121029,13.9
ACB,20121026,13.9
ACB,20121025,14
ACB,20121024,13.9
ACB,20121023,13.8
ACB,20121022,13.7
ACB,20121019,13.8
ACB,20121018,14
ACB,20121017,14.1
ACB,20121016,14.2
ACB,20121015,14
ACB,20121012,14.1
ACB,20121011,14.2
ACB,20121010,14
ACB,20121009,14
ACB,20121008,14
ACB,20121005,13.9
ACB,20121004,13.8
ACB,20121003,13.9
ACB,20121002,13.9
ACB,20121001,14
ACB,20120928,14.4
ACB,20120927,14.4
ACB,20120926,14.6
ACB,20120925,14.8
ACB,20120924,15.1
ACB,20120921,14.4
ACB,20120920,13.5
ACB,20120919,14
ACB,20120918,14.9
ACB,20120917,16
ACB,20120914,15.9
ACB,20120913,15.5
ACB,20120912,15.6
ACB,20120911,15.7
ACB,20120910,15.9
ACB,20120907,16.9
ACB,20120906,17.1
ACB,20120905,17.3
ACB,20120904,17.4
ACB,20120831,17.4
ACB,20120830,17.6
ACB,20120829,17.6
ACB,20120828,16.7
ACB,20120827,17.7
ACB,20120824,19.1
ACB,20120823,18.4
ACB,20120822,19.7
ACB,20120821,21.1
ACB,20120820,22.7
ACB,20120817,22.6
ACB,20120816,22.6
ACB,20120815,22.6
ACB,20120814,22.6
ACB,20120813,22.6
ACB,20120810,22.6
ACB,20120809,22.6
ACB,20120808,22.6
ACB,20120807,22.5
ACB,20120806,22.6
ACB,20120803,22.6
ACB,20120802,22.6
ACB,20120801,22.6
ACB,20120731,22.6
ACB,20120730,22.6
ACB,20120727,22.6
ACB,20120726,22.6
ACB,20120725,22.6
ACB,20120724,22.5
ACB,20120723,22.6
ACB,20120720,22.6
ACB,20120719,22.6
ACB,20120718,22.6
ACB,20120717,22.6
ACB,20120716,22.5
ACB,20120713,22.4
ACB,20120712,22.4
ACB,20120711,22.5
ACB,20120710,22.4
ACB,20120709,22.5
ACB,20120706,22.6
ACB,20120705,22.6
ACB,20120704,22.5
ACB,20120703,22.5
ACB,20120702,22.5
ACB,20120629,22.6
ACB,20120628,22.6
ACB,20120627,22.6
ACB,20120626,22.6
ACB,20120625,22.5
ACB,20120622,22.6
ACB,20120621,22.6
ACB,20120620,22.6
ACB,20120619,22.6
ACB,20120618,22.6
ACB,20120615,22.5
ACB,20120614,22.5
ACB,20120613,22.6
ACB,20120612,22.6
ACB,20120611,22.6
ACB,20120608,22.5
ACB,20120607,22.7
ACB,20120606,22.6
ACB,20120605,22.6
ACB,20120604,22.5
ACB,20120601,22.6
ACB,20120531,22.6
ACB,20120530,22.7
ACB,20120529,22.6
ACB,20120528,22.6
ACB,20120525,22.7
ACB,20120524,22.5
ACB,20120523,22.5
ACB,20120522,22.5
ACB,20120521,22.7
ACB,20120518,22.2
ACB,20120517,22.6
ACB,20120516,22.5
ACB,20120515,22.5
ACB,20120514,22.5
ACB,20120511,22.5
ACB,20120510,22.7
ACB,20120509,22.7
ACB,20120508,22.7
ACB,20120507,22.6
ACB,20120504,22.4
ACB,20120503,22.3
ACB,20120502,22.3
ACB,20120427,22.6
ACB,20120426,22.5
ACB,20120425,22.6
ACB,20120424,22.6
ACB,20120423,22.6
ACB,20120420,22.4
ACB,20120419,22.3
ACB,20120418,22.6
ACB,20120417,23
ACB,20120416,23.1
ACB,20120413,23.1
ACB,20120412,23.1
ACB,20120411,22.5
ACB,20120410,22.1
ACB,20120409,22.3
ACB,20120406,22.2
ACB,20120405,22.1
ACB,20120404,21.8
ACB,20120403,21.9
ACB,20120330,21.6
ACB,20120329,21.6
ACB,20120328,22
ACB,20120327,21.9
ACB,20120326,22.6
ACB,20120323,22.5
ACB,20120322,22.6
ACB,20120321,22.6
ACB,20120320,22.6
ACB,20120319,22
ACB,20120316,22.2
